"categoria","centroide_lat","centroide_lon","fuente","id","nombre","nombre_completo","provincia_id","provincia_interseccion","provincia_nombre"
"Municipio",-22.8431449411788,-66.0322682108588,"Direc. Grl. de Inmuebles","380014","Abra Pampa","Municipio Abra Pampa","38",0.0711122979804305,"Jujuy"
"Comisión Municipal",-23.1358937646647,-65.792209430154,"Direc. Grl. de Inmuebles","386014","Abralaite","Comisión Municipal Abralaite","38",0.0127847208411429,"Jujuy"
"Municipio",-23.1800320816974,-65.3082961701977,"Direc. Grl. de Inmuebles","380105","Humahuaca","Municipio Humahuaca","38",0.030198067686917,"Jujuy"
"Comisión Municipal",-23.3201640640822,-65.9917423948271,"Direc. Grl. de Inmuebles","386007","Abdón Castro Tolay","Comisión Municipal Abdón Castro Tolay","38",0.0301031967545348,"Jujuy"
"Comisión Municipal",-23.1946260949512,-66.614526284725,"Direc. Grl. de Inmuebles","386161","Coranzuli","Comisión Municipal Coranzuli","38",0.0658896639282888,"Jujuy"
"Municipio",-23.2109438569515,-65.6379141890805,"Direc. Grl. de Inmuebles","380091","El Aguilar","Municipio El Aguilar","38",0.0116147583369531,"Jujuy"
"Comisión Municipal",-23.7054223180767,-66.5588749659573,"Direc. Grl. de Inmuebles","386168","Susques","Comisión Municipal Susques","38",0.0857337855575316,"Jujuy"
"Comisión Municipal",-23.3446317099678,-65.083177753117,"Direc. Grl. de Inmuebles","386210","Caspalá","Comisión Municipal Caspalá","38",0.00619780819598875,"Jujuy"
"Comisión Municipal",-23.3977683815659,-65.3946655371627,"Direc. Grl. de Inmuebles","386175","Huacalera","Comisión Municipal Huacalera","38",0.0108095273247069,"Jujuy"
"Comisión Municipal",-23.6601037261503,-66.9591888909713,"Direc. Grl. de Inmuebles","386154","Catua","Comisión Municipal Catua","38",0.0401456586558512,"Jujuy"
"Comisión Municipal",-23.5633995980458,-65.0452232272797,"Direc. Grl. de Inmuebles","386217","Pampichuela","Comisión Municipal Pampichuela","38",0.00702213053372575,"Jujuy"
"Comisión Municipal",-23.4986285822548,-64.9305752762516,"Direc. Grl. de Inmuebles","386238","Valle Grande","Comisión Municipal Valle Grande","38",0.00330713857918789,"Jujuy"
"Municipio",-23.565307635886,-64.6176128701431,"Direc. Grl. de Inmuebles","380147","Yuto","Municipio Yuto","38",0.00807061483658957,"Jujuy"
"Comisión Municipal",-23.6423715717053,-65.4364492243533,"Direc. Grl. de Inmuebles","386182","Maimará","Comisión Municipal Maimará","38",0.00322197133600192,"Jujuy"
"Municipio",-23.7336839551609,-64.7601461359254,"Direc. Grl. de Inmuebles","380126","Calilegua","Municipio Calilegua","38",0.0062697750512564,"Jujuy"
"Comisión Municipal",-23.7307638894877,-64.3534086128734,"Direc. Grl. de Inmuebles","386126","Vinalito","Comisión Municipal Vinalito","38",0.0151172183074366,"Jujuy"
"Municipio",-23.8316438581042,-64.8514667116432,"Direc. Grl. de Inmuebles","380140","Libertador General San Martín","Municipio Libertador General San Martín","38",0.0113094146371401,"Jujuy"
"Municipio",-23.9229619249258,-64.9543223731296,"Direc. Grl. de Inmuebles","380133","Fraile Pintado","Municipio Fraile Pintado","38",0.0194932806819195,"Jujuy"
"Municipio",-24.1949225190466,-65.1264498125423,"Direc. Grl. de Inmuebles","380154","Palpalá","Municipio Palpalá","38",0.00921981822271856,"Jujuy"
"Municipio",-24.1943902774618,-65.4189887578637,"Direc. Grl. de Inmuebles","380035","San Salvador de Jujuy","Municipio San Salvador de Jujuy","38",0.014058111675757,"Jujuy"
"Comisión Municipal",-24.1313201861624,-64.7788900953339,"Direc. Grl. de Inmuebles","386091","Arrayanal","Comisión Municipal Arrayanal","38",0.00249226405969624,"Jujuy"
"Municipio",-24.2041715000581,-64.7720910953121,"Direc. Grl. de Inmuebles","380196","La Esperanza","Municipio La Esperanza","38",0.00207537469590851,"Jujuy"
"Comisión Municipal",-24.3084159629544,-64.7978944714527,"Direc. Grl. de Inmuebles","386105","Rodeíto","Comisión Municipal Rodeíto","38",0.00408959901757599,"Jujuy"
"Municipio",-24.2734316258699,-64.6096326715894,"Direc. Grl. de Inmuebles","380252","Santa Clara","Municipio Santa Clara","38",0.00514535945939825,"Jujuy"
"Municipio",-24.2955921038521,-65.0074267062509,"Direc. Grl. de Inmuebles","380203","La Mendieta","Municipio La Mendieta","38",0.00198688198210661,"Jujuy"
"Comisión Municipal",-24.3467258627678,-65.4468529258409,"Direc. Grl. de Inmuebles","386084","San Antonio","Comisión Municipal San Antonio","38",0.0131304717899852,"Jujuy"
"Comisión Municipal",-24.3672726216849,-64.9045281380553,"Direc. Grl. de Inmuebles","386112","Rosario de Río Grande","Comisión Municipal Rosario de Río Grande","38",0.00358738253830505,"Jujuy"
"Municipio",-24.4162328438079,-65.2749306821562,"Direc. Grl. de Inmuebles","380056","El Carmen","Municipio El Carmen","38",0.00464762635450711,"Jujuy"
"Municipio",-24.391972418633,-65.0852675017876,"Direc. Grl. de Inmuebles","380077","Perico","Municipio Perico","38",0.0041834522364614,"Jujuy"
